tag_node,vehicle_type,fuel_type,garage_state,region,ownership,fsr_node,exp_node,lob_node
TAG-722,Ld Suv 4X4,Gasoline,AK,AL,owned,NA,ORG-596,LOB-5
TAG-1007,Ld Suv 4X4,Gasoline,AK,AL,owned,NA,ORG-640,LOB-5
TAG-2204,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-640,LOB-5
TAG-3390,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-494,LOB-5
TAG-1743,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-72,LOB-5
TAG-4541,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-399,LOB-5
TAG-994,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-196,LOB-5
TAG-2265,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-72,LOB-5
TAG-2285,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-524,LOB-5
TAG-1420,Med & Heavy Cab And Chassis,Gasoline,AK,AL,owned,NA,ORG-593,LOB-5
TAG-2220,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-493,LOB-5
TAG-1451,Ld Pickup 4X4,Diesel,AK,AL,owned,NA,ORG-103,LOB-5
TAG-2748,Ld Pickup 4X4,Diesel,AK,AL,owned,NA,ORG-103,LOB-5
TAG-36,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-103,LOB-5
TAG-957,Hd,Gasoline,AK,AL,owned,NA,ORG-301,LOB-5
TAG-3838,Ld Suv 4X2,Gasoline,AK,AL,owned,NA,ORG-72,LOB-5
TAG-3934,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-399,LOB-5
TAG-1126,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-528,LOB-5
TAG-1804,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-504,LOB-5
TAG-4257,Ld Suv 4X4,Gasoline,AK,AL,owned,NA,ORG-399,LOB-5
TAG-1090,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-428,LOB-5
TAG-2277,Md Suv,Gasoline,AK,AL,owned,NA,ORG-504,LOB-5
TAG-3886,Ld Suv 4X4,Gasoline,AK,AL,owned,NA,ORG-103,LOB-5
TAG-3382,Ld Suv 4X4,Gasoline,AK,AL,owned,NA,ORG-399,LOB-5
TAG-1164,Md Suv,Gasoline,AK,AL,owned,NA,ORG-504,LOB-5
TAG-561,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-196,LOB-5
TAG-494,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-399,LOB-5
TAG-4527,Ld Suv 4X4,Gasoline,AK,AL,owned,NA,ORG-103,LOB-5
TAG-1334,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-524,LOB-5
TAG-4516,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-494,LOB-5
TAG-177,Ld Suv 4X4,Gasoline,AK,AL,owned,NA,ORG-282,LOB-5
TAG-1347,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-72,LOB-5
TAG-2547,Hd,Diesel,AK,AL,owned,NA,ORG-528,LOB-5
TAG-679,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-593,LOB-5
TAG-4246,Ld Suv 4X4,Gasoline,AK,AL,owned,NA,ORG-72,LOB-5
TAG-1097,Ld Suv 4X4,Gasoline Hybrid Electric,AK,AL,owned,NA,ORG-301,LOB-5
TAG-3258,Ld Suv 4X4,Gasoline Hybrid Electric,AK,AL,owned,NA,ORG-504,LOB-5
